Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,TPE,FPE,LS_AVG_TPE,LS_AVG_FPE
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",24.016079,21.279203,27.775026000000004,19.6604199516129
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",0,24.38253,27.775026000000004,19.6604199516129
CF,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",45.311382,40.318474,27.775026000000004,19.6604199516129
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",13.513165,12.1367855,27.775026000000004,19.6604199516129
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",17.53114,15.402359,27.775026000000004,19.6604199516129
CHRW,C. H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",83.39147,42.186275,68.48093710612245,30.882851198387105
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",0,11.302601,27.775026000000004,19.6604199516129
CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",81.85068,43.29832,27.775026000000004,19.6604199516129
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20.633413,18.146507,27.775026000000004,19.6604199516129
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",31.66898,21.854631,27.775026000000004,19.6604199516129
CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",0,9.067568,27.775026000000004,19.6604199516129
CMA,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",0,,2434.2089754,16.517298605555553
CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",14.925953,16.571428,27.775026000000004,19.6604199516129
CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",19.91849,9.63278,27.775026000000004,19.6604199516129
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",19.785542,16.636822,27.775026000000004,19.6604199516129
CMI,Cummins,reports,Industrials,Industrial Machinery,"Columbus, Indiana",0,13.915012,2434.2089754,16.517298605555553
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",28.397324,25.51266,27.775026000000004,19.6604199516129
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St. Louis, Missouri",17.365952,14.313989,27.775026000000004,19.6604199516129
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",14.119342,13.045628,27.775026000000004,19.6604199516129
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",65.10048,18.486412,68.48093710612245,30.882851198387105
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",0,13.8357525,2434.2089754,16.517298605555553
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0,-74.81818,2434.2089754,16.517298605555553
COST,Costco,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",28.97152,22.329268,2434.2089754,16.517298605555553
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",119.53216,30.748138,68.48093710612245,30.882851198387105
CPRT,Copart,reports,Industrials,Diversified Support Services,"Dallas, Texas",0,22.5671,2434.2089754,16.517298605555553
CRL,Charles River Laboratories,reports,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",20.697252,13.133224,27.775026000000004,19.6604199516129
CRM,Salesforce,reports,Information Technology,Application Software,"San Francisco, California",23.795507,11.676914,66.34380564788736,27.87122222222222
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",36.864853,20.204777,27.775026000000004,19.6604199516129
CSX,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",0,10.479025,2434.2089754,16.517298605555553
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",14.893198,13.338843,27.775026000000004,19.6604199516129
CTLT,Catalent,reports,Health Care,Pharmaceuticals,"Somerset, New Jersey",27.930397,22.964993,27.775026000000004,19.6604199516129
CTRA,Coterra,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0,22.163195,2434.2089754,16.517298605555553
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",25.551853,21.786316,27.775026000000004,19.6604199516129
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",0,19.767296,2434.2089754,16.517298605555553
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",0,0,27.775026000000004,19.6604199516129
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",0,25.236528,2434.2089754,16.517298605555553
CVX,Chevron Corporation,reports,Energy,Integrated Oil & Gas,"San Ramon, California",15.564827,13.222465,27.775026000000004,19.6604199516129
CZR,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",18.114862,18.050833,68.48093710612245,30.882851198387105
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",9.937786,9.827882,20.526891708196725,16.406940241935484
DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",0,0,2434.2089754,16.517298605555553
DD,DuPont,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",10.463695,14.696035,20.526891708196725,16.406940241935484
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",12085,18.784975,2434.2089754,16.517298605555553
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",16.113153,13.578947,20.526891708196725,16.406940241935484
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",35.08704,13.742423,20.526891708196725,16.406940241935484
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",44.0245,17.011189,66.34380564788736,27.87122222222222
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",0,11.531524,2434.2089754,16.517298605555553
DHR,Danaher Corporation,reports,Health Care,Health Care Equipment,"Washington, D.C.",0,11.283159,2434.2089754,16.517298605555553
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",43.792793,16.042904,27.763086719999997,17.962901632142856
DISCA,Discovery (Series A),reports,Communication Services,Broadcasting,"New York City, New York",30.959187,26.334578,20.526891708196725,16.406940241935484
DISCK,Discovery (Series C),reports,Communication Services,Broadcasting,"New York City, New York",12.834533,14.017143,20.526891708196725,16.406940241935484
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",19.392048,14.8188,20.526891708196725,16.406940241935484
DLR,Digital Realty Trust,reports,Real Estate,Specialized REITs,"Austin, Texas",77.57454,55.59389,20.526891708196725,16.406940241935484
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",13.971104,11.315603,20.526891708196725,16.406940241935484
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",18.241514,16.592842,20.526891708196725,16.406940241935484
DOW,Dow,reports,Materials,Commodity Chemicals,"Midland, Michigan",12.060677,8.412753,20.526891708196725,16.406940241935484
DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",15.807698,8.182308,20.526891708196725,16.406940241935484
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",13.03517,14.774194,20.526891708196725,16.406940241935484
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",23.575571,17.525862,2434.2089754,16.517298605555553
DTE,DTE Energy,reports,Utilities,Multi-Utilities,"Detroit, Michigan",8.280597,15.620927,20.526891708196725,16.406940241935484
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",14.999999,10.542728,20.526891708196725,16.406940241935484
DVA,DaVita,reports,Health Care,Health Care Facilities,"Denver, Colorado",0,17.121212,2434.2089754,16.517298605555553
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",31.171509,25.782946,20.526891708196725,16.406940241935484
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",31.097757,22.13498,20.526891708196725,16.406940241935484
DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",19.11425,9.079268,20.526891708196725,16.406940241935484
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",31.764412,22.291506,20.526891708196725,16.406940241935484
EBAY,eBay,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",11.139456,9.548105,20.526891708196725,16.406940241935484
ECL,Ecolab,reports,Materials,Specialty Chemicals,"Saint Paul, Minnesota",28.519915,19.120878,20.526891708196725,16.406940241935484
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York City, New York",0,16.75142,2434.2089754,16.517298605555553
EFX,Equifax,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",36.836773,26.67663,20.526891708196725,16.406940241935484
EIX,Edison International,reports,Utilities,Electric Utilities,"Rosemead, California",13.185945,11.834428,20.526891708196725,16.406940241935484
EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York City, New York",18.914164,14.170419,20.526891708196725,16.406940241935484
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",11.641977,10.371747,20.526891708196725,16.406940241935484
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",14.251801,11.794702,20.526891708196725,16.406940241935484
ENPH,Enphase Energy,reports,Information Technology,Electronic Components,"Fremont, California",13.726384,15.931947,20.526891708196725,16.406940241935484
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",13.703051,13.049539,20.526891708196725,16.406940241935484
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",35.166855,25.057817,20.526891708196725,16.406940241935484
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",6.332613,10.134616,20.526891708196725,16.406940241935484
