Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,TPE,FPE,LS_AVG_TPE,LS_AVG_FPE
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187.0,1964,44.176815,32.730713,55.29790544230769,25.943469838983052
NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,849399.0,1982,0.0,,41.766440325,26.817563048484836
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,New York City,2013-07-09,1492633.0,1923,15.166595,24.91579,53.80290897321429,24.52907978636364
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,1133421.0,"1994 (Northrop 1939, Grumman 1930)",32.78245,24.512974,53.80290897321429,24.52907978636364
NOV,Nov,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005-03-14,1021860.0,1841,0.0,11.6598835,44.778136842105255,36.566831875
NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,1373715.0,2003,30.42563,15.57004,41.766440325,26.817563048484836
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,1013871.0,1992,35.55517,31.28746,38.843115039999994,21.74133126923077
NSC,Norfolk Southern,reports,Industrials,Railroads,"Norfolk, Virginia",1957-03-04,702165.0,1881/1894 (1980),35.0,30.906431,53.80290897321429,24.52907978636364
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1999-06-25,1002047.0,1992,22.061146,16.002455,41.766440325,26.817563048484836
NTRS,Northern Trust,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124.0,1889,0.0,24.147108,38.61327658999999,41.974477063333346
NUE,Nucor,reports,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309.0,1940,582.76,19.794836,85.30784769565217,25.06027842
NVDA,Nvidia,reports,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810.0,1993,39.324158,24.318886,41.766440325,26.817563048484836
NVR,NVR,reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,906163.0,1980,54.130013,37.73677,55.29790544230769,25.943469838983052
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1989-04-30,814453.0,1903,0.0,,55.29790544230769,25.943469838983052
NWS,News Corp (Class B),reports,Communication Services,Publishing,New York City,2015-09-18,1564708.0,2013 (1980),25.465925,24.839148,32.21145538636364,25.111647560000005
NWSA,News Corp (Class A),reports,Communication Services,Publishing,New York City,2013-08-01,1564708.0,2013 (1980),30.601278,17.015884,32.21145538636364,25.111647560000005
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728.0,1969,69.05652,51.621803,431.98932496153844,27.61742757142857
ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",2019-12-09,878927.0,1934,64.818275,41.221508,53.80290897321429,24.52907978636364
OGN,Organon & Co.,reports,Health Care,Pharmaceuticals,"Jersey City, New Jersey",2021-06-03,1821825.0,2021,26.111744,19.049814,33.78049890425532,29.299340398305088
OKE,Oneok,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,1039684.0,1906,86.12821,58.527588,44.778136842105255,36.566831875
OMC,Omnicom Group,reports,Communication Services,Advertising,New York City,,29989.0,1986,31.176107,17.315321,32.21145538636364,25.111647560000005
ORCL,Oracle,reports,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439.0,1977,58.799145,41.07164,41.766440325,26.817563048484836
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,898173.0,1957,85.744514,17.042057,55.29790544230769,25.943469838983052
OTIS,Otis Worldwide,reports,Industrials,Industrial Machinery,"Farmington, Connecticut",2020-04-03,1781335.0,2020 (1853),38.255234,26.864216,53.80290897321429,24.52907978636364
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1982-12-31,797468.0,1920,26.07104,18.27428,44.778136842105255,36.566831875
PAYC,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,1590955.0,1998,104.48763,49.794044,41.766440325,26.817563048484836
PAYX,Paychex,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531.0,1971,28.749434,21.913345,41.766440325,26.817563048484836
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,1378946.0,1842,10.35097,8.04947,38.61327658999999,41.974477063333346
PCAR,Paccar,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,75362.0,1905,26.195322,17.441013,53.80290897321429,24.52907978636364
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31,765880.0,1985,13.036804,12.549387,431.98932496153844,27.61742757142857
